number_plate,image_link,detected_number_plate,driver_violation,passenger_violation,message
KA09MG4771,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09MG4771_1764380195490.jpg,,,,No violation detected - all occupants wearing seatbelts
KA09N2638,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09N2638_1764381258322.jpg,,,,No violation detected - all occupants wearing seatbelts
KA09MB1667,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09MB1667_1764392579019.jpg,,,,No violation detected - all occupants wearing seatbelts
KA09MC7852,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09MC7852_1764403742300.jpg,KA09MC7852 (0.966),,passenger_not_wearing_seatbelt (0.79),Violation detected
KA21Z0310,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA21Z0310_1764389008303.jpg,,,,No violation detected - all occupants wearing seatbelts
KA03MU8266,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA03MU8266_1764391620825.jpg,,,,No violation detected - all occupants wearing seatbelts
KA09N6906,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09N6906_1764396728203.jpg,,,passenger_not_wearing_seatbelt (0.53),Violation detected
KA19A5389,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA19A5389_1764378269644.jpg,A19A5389 (0.920),Driver_not_wearing_seatbelt (0.79),,Violation detected
KA05MM2781,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA05MM2781_1764395437715.jpg,,,,No violation detected - all occupants wearing seatbelts
KA09N5428,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09N5428_1764403129540.jpg,KA09N5428 (0.977),,passenger_not_wearing_seatbelt (0.80),Violation detected
KA05MA8833,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA05MA8833_1764390358306.jpg,ARRYMAJUNGE (0.623),Driver_not_wearing_seatbelt (0.74),,Violation detected
KA02MF6953,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA02MF6953_1764382253403.jpg,KA02MF6953 (0.955),,passenger_not_wearing_seatbelt (0.74),Violation detected
KA03MP0436,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA03MP0436_1764403551386.jpg,KA03MP0436 (0.957),,passenger_not_wearing_seatbelt (0.75),Violation detected
KA13N8152,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA13N8152_1764396728216.jpg,,,,No violation detected - all occupants wearing seatbelts
KA02MS2838,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA02MS2838_1764387841895.jpg,KA02MS2838 (0.948),,passenger_not_wearing_seatbelt (0.57),Violation detected
KA05MR0024,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA05MR0024_1764387340906.jpg,KA05MRO024 (0.889),,passenger_not_wearing_seatbelt (0.47),Violation detected
KA18Z9361,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA18Z9361_1764382919405.jpg,,,,No violation detected - all occupants wearing seatbelts
KA01G6121,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA01G6121_1764405035839.jpg,,,,No violation detected - all occupants wearing seatbelts
KA34C6266,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA34C6266_1764388445833.jpg,,,,No violation detected - all occupants wearing seatbelts
KA20MC7024,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA20MC7024_1764405785987.jpg,,,,No violation detected - all occupants wearing seatbelts
KA02AH8229,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA02AH8229_1764390234515.jpg,,,,No violation detected - all occupants wearing seatbelts
KA09F4774,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09F4774_1764384398358.jpg,,,,No violation detected - all occupants wearing seatbelts
KA55A1691,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA55A1691_1764393359786.jpg,,,,No violation detected - all occupants wearing seatbelts
KA05MZ6473,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA05MZ6473_1764386820311.jpg,,,,No violation detected - all occupants wearing seatbelts
KA09AA0262,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09AA0262_1764380195599.jpg,KA09AA0262 (0.960),Driver_not_wearing_seatbelt (0.54),,Violation detected
KA05AD4216,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA05AD4216_1764402405689.jpg,,,,No violation detected - all occupants wearing seatbelts
KA09MA2510,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09MA2510_1764406106572.jpg,,,,No violation detected - all occupants wearing seatbelts
KA19D6084,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA19D6084_1764383137058.jpg,KA19D6084 (0.968),Driver_not_wearing_seatbelt (0.50),,Violation detected
KA04MS9264,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA04MS9264_1764390991554.jpg,KA04MS9264 (0.981),,passenger_not_wearing_seatbelt (0.72),Violation detected
KA02ML0295,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA02ML0295_1764403677685.jpg,,,,No violation detected - all occupants wearing seatbelts
KA05MC3233,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA05MC3233_1764403129632.jpg,KA05MC3233 (0.998),,passenger_not_wearing_seatbelt (0.45),Violation detected
KA09MG4498,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09MG4498_1764406888171.jpg,,,,No violation detected - all occupants wearing seatbelts
KA09MC4452,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09MC4452_1764395201026.jpg,KA09MC4452 (0.995),,passenger_not_wearing_seatbelt (0.52),Violation detected
KA55M5173,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA55M5173_1764395498216.jpg,,,,No violation detected - all occupants wearing seatbelts
KA50Z4867,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA50Z4867_1764392371393.jpg,,,,No violation detected - all occupants wearing seatbelts
KA14B6595,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA14B6595_1764402013160.jpg,,,,No violation detected - all occupants wearing seatbelts
KA20M5869,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA20M5869_1764379740903.jpg,,,,No violation detected - all occupants wearing seatbelts
KA18P1724,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA18P1724_1764392763497.jpg,,,,No violation detected - all occupants wearing seatbelts
KA09MF3859,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09MF3859_1764389215944.jpg,,,,No violation detected - all occupants wearing seatbelts
KA13B9210,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA13B9210_1764392704727.jpg,,,,No violation detected - all occupants wearing seatbelts
